Id,Outcome Type
1,Return to Owner
2,Adoption
3,Return to Owner
4,Adoption
5,Adoption
6,Adoption
7,Transfer
8,Adoption
9,Transfer
10,Transfer
11,Return to Owner
12,Return to Owner
13,Transfer
14,Transfer
15,Adoption
16,Adoption
17,Return to Owner
18,Adoption
19,Transfer
20,Adoption
21,Adoption
22,Transfer
23,Adoption
24,Adoption
25,Adoption
26,Return to Owner
27,Return to Owner
28,Adoption
29,Adoption
30,Transfer
31,Transfer
32,Transfer
33,Adoption
34,Adoption
35,Adoption
36,Transfer
37,Transfer
38,Transfer
39,Adoption
40,Return to Owner
41,Adoption
42,Adoption
43,Adoption
44,Return to Owner
45,Adoption
46,Adoption
47,Transfer
48,Adoption
49,Return to Owner
50,Adoption
51,Adoption
52,Adoption
53,Return to Owner
54,Transfer
55,Adoption
56,Transfer
57,Adoption
58,Adoption
59,Adoption
60,Return to Owner
61,Return to Owner
62,Transfer
63,Adoption
64,Return to Owner
65,Transfer
66,Return to Owner
67,Adoption
68,Return to Owner
69,Adoption
70,Adoption
71,Adoption
72,Adoption
73,Adoption
74,Adoption
75,Transfer
76,Adoption
77,Return to Owner
78,Transfer
79,Adoption
80,Transfer
81,Return to Owner
82,Return to Owner
83,Adoption
84,Adoption
85,Adoption
86,Adoption
87,Adoption
88,Return to Owner
89,Adoption
90,Transfer
91,Adoption
92,Euthanasia
93,Adoption
94,Adoption
95,Transfer
96,Adoption
97,Adoption
98,Adoption
99,Euthanasia
100,Adoption
101,Return to Owner
102,Adoption
103,Transfer
104,Adoption
105,Adoption
106,Adoption
107,Adoption
108,Return to Owner
109,Euthanasia
110,Return to Owner
111,Adoption
112,Adoption
113,Adoption
114,Adoption
115,Return to Owner
116,Adoption
117,Adoption
118,Transfer
119,Adoption
120,Adoption
121,Adoption
122,Transfer
123,Transfer
124,Adoption
125,Transfer
126,Adoption
127,Transfer
128,Return to Owner
129,Transfer
130,Transfer
131,Return to Owner
132,Adoption
133,Adoption
134,Adoption
135,Adoption
136,Return to Owner
137,Adoption
138,Return to Owner
139,Adoption
140,Adoption
141,Adoption
142,Transfer
143,Adoption
144,Adoption
145,Transfer
146,Transfer
147,Adoption
148,Adoption
149,Adoption
150,Transfer
151,Adoption
152,Transfer
153,Adoption
154,Return to Owner
155,Transfer
156,Euthanasia
157,Adoption
158,Adoption
159,Adoption
160,Adoption
161,Adoption
162,Transfer
163,Adoption
164,Adoption
165,Return to Owner
166,Adoption
167,Adoption
168,Adoption
169,Transfer
170,Adoption
171,Return to Owner
172,Adoption
173,Transfer
